scenario,customer_id,city,preference,autonomy_hours,appliance_count,total_daily_energy_wh,adjusted_daily_energy_wh,simultaneous_power_w,pv_total_power_w,panel_count,battery_count,battery_usable_capacity_wh,inverter_power_w,estimated_quote_total,risk_budget_insufficient
petit_menage,synthetic-customer-000030,kinshasa,balanced,8,3,515.28,644.1,131.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000031,kinshasa,balanced,10,5,2868.41,3585.51,362.0,1100.0,2,2,2176.0,600.0,1400000.0,True
boutique_froid,synthetic-customer-000032,brazzaville,autonomy,16,4,3771.51,4714.39,390.0,1650.0,3,4,4352.0,1200.0,2265000.0,False
salon_coiffure,synthetic-customer-000033,lubumbashi,performance,24,4,3214.11,4017.64,1183.0,1100.0,2,5,5440.0,2500.0,2540000.0,False
centre_sante,synthetic-customer-000034,mbandaka,economy,24,4,2108.72,2635.9,298.0,1050.0,3,5,3000.0,600.0,1535000.0,True
petit_menage,synthetic-customer-000035,kinshasa,balanced,24,3,410.45,513.06,87.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000036,kinshasa,autonomy,8,5,3338.7,4173.38,467.0,1650.0,3,2,2176.0,600.0,1645000.0,False
boutique_froid,synthetic-customer-000037,brazzaville,performance,8,4,2525.96,3157.45,275.0,1050.0,3,2,2176.0,600.0,1405000.0,True
salon_coiffure,synthetic-customer-000038,lubumbashi,performance,10,4,2464.7,3080.88,1192.0,1050.0,3,2,2176.0,2500.0,1765000.0,False
centre_sante,synthetic-customer-000039,mbandaka,autonomy,16,4,1936.24,2420.3,289.0,1050.0,3,2,2176.0,600.0,1405000.0,False
petit_menage,synthetic-customer-000040,kinshasa,balanced,12,3,350.94,438.68,78.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000041,kinshasa,economy,24,5,2947.41,3684.26,398.0,1100.0,2,7,4200.0,600.0,1790000.0,True
boutique_froid,synthetic-customer-000042,brazzaville,economy,8,4,4244.82,5306.02,460.0,1650.0,3,4,2400.0,1200.0,1745000.0,False
salon_coiffure,synthetic-customer-000043,lubumbashi,economy,8,4,2794.36,3492.95,1132.0,1050.0,3,3,1800.0,2500.0,1635000.0,True
centre_sante,synthetic-customer-000044,mbandaka,autonomy,8,4,2296.24,2870.3,362.0,1100.0,2,1,1088.0,600.0,1140000.0,True
petit_menage,synthetic-customer-000045,kinshasa,autonomy,16,3,563.26,704.08,122.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000046,kinshasa,economy,10,5,3400.19,4250.24,452.0,1650.0,3,4,2400.0,600.0,1645000.0,True
boutique_froid,synthetic-customer-000047,brazzaville,economy,8,4,5371.59,6714.49,529.0,2200.0,4,5,3000.0,2500.0,2380000.0,True
salon_coiffure,synthetic-customer-000048,lubumbashi,autonomy,10,4,2503.24,3129.05,1237.0,1050.0,3,2,2176.0,2500.0,1765000.0,False
centre_sante,synthetic-customer-000049,mbandaka,balanced,24,4,2022.25,2527.81,298.0,1050.0,3,3,3264.0,600.0,1665000.0,True
petit_menage,synthetic-customer-000050,kinshasa,economy,8,3,490.41,613.01,96.0,240.0,2,1,600.0,600.0,540000.0,False
menage_urbain,synthetic-customer-000051,kinshasa,performance,8,5,4464.78,5580.97,528.0,1650.0,3,2,2176.0,1200.0,1745000.0,False
boutique_froid,synthetic-customer-000052,brazzaville,autonomy,16,4,4585.33,5731.66,460.0,1650.0,3,4,4352.0,1200.0,2265000.0,False
salon_coiffure,synthetic-customer-000053,lubumbashi,performance,16,4,4177.2,5221.5,2237.0,1650.0,3,4,4352.0,5000.0,2955000.0,True
centre_sante,synthetic-customer-000054,mbandaka,performance,10,4,2866.99,3583.74,387.0,1650.0,3,2,2176.0,600.0,1645000.0,True
petit_menage,synthetic-customer-000055,kinshasa,autonomy,24,3,345.77,432.21,86.0,240.0,2,1,1088.0,600.0,670000.0,True
menage_urbain,synthetic-customer-000056,kinshasa,economy,16,5,3073.18,3841.47,398.0,1650.0,3,5,3000.0,600.0,1775000.0,True
boutique_froid,synthetic-customer-000057,brazzaville,autonomy,10,4,5360.81,6701.01,520.0,2200.0,4,3,3264.0,2500.0,2510000.0,True
salon_coiffure,synthetic-customer-000058,lubumbashi,economy,24,4,2469.02,3086.28,1207.0,1050.0,3,6,3600.0,2500.0,2025000.0,True
centre_sante,synthetic-customer-000059,mbandaka,economy,8,4,1957.38,2446.72,298.0,1050.0,3,2,1200.0,600.0,1145000.0,True
petit_menage,synthetic-customer-000060,kinshasa,balanced,12,3,479.77,599.71,104.0,240.0,2,1,1088.0,600.0,670000.0,True
menage_urbain,synthetic-customer-000061,kinshasa,performance,10,5,2660.43,3325.54,362.0,1100.0,2,2,2176.0,600.0,1400000.0,False
boutique_froid,synthetic-customer-000062,brazzaville,performance,24,4,6166.84,7708.55,599.0,2200.0,4,9,9792.0,2500.0,4070000.0,True
salon_coiffure,synthetic-customer-000063,lubumbashi,balanced,16,4,2509.54,3136.93,2216.0,1050.0,3,3,3264.0,5000.0,2455000.0,True
centre_sante,synthetic-customer-000064,mbandaka,performance,8,4,1956.85,2446.06,298.0,1050.0,3,1,1088.0,600.0,1145000.0,False
petit_menage,synthetic-customer-000065,kinshasa,economy,8,3,483.76,604.7,122.0,240.0,2,1,600.0,600.0,540000.0,True
menage_urbain,synthetic-customer-000066,kinshasa,economy,16,5,2857.35,3571.69,362.0,1100.0,2,5,3000.0,600.0,1530000.0,True
boutique_froid,synthetic-customer-000067,brazzaville,performance,10,4,2489.14,3111.42,269.0,1050.0,3,2,2176.0,600.0,1405000.0,False
salon_coiffure,synthetic-customer-000068,lubumbashi,performance,10,4,2850.74,3563.42,1201.0,1100.0,2,2,2176.0,2500.0,1760000.0,True
centre_sante,synthetic-customer-000069,mbandaka,economy,24,4,2651.46,3314.32,387.0,1100.0,2,7,4200.0,600.0,1790000.0,True
petit_menage,synthetic-customer-000070,kinshasa,balanced,12,3,553.74,692.17,113.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000071,kinshasa,performance,10,5,3505.96,4382.45,476.0,1650.0,3,2,2176.0,600.0,1645000.0,True
boutique_froid,synthetic-customer-000072,brazzaville,performance,10,4,3878.68,4848.35,399.0,1650.0,3,3,3264.0,1200.0,2005000.0,True
salon_coiffure,synthetic-customer-000073,lubumbashi,economy,8,4,3631.04,4538.8,1228.0,1650.0,3,3,1800.0,2500.0,1875000.0,True
centre_sante,synthetic-customer-000074,mbandaka,performance,8,4,3234.5,4043.12,488.0,1650.0,3,2,2176.0,1200.0,1745000.0,False
petit_menage,synthetic-customer-000075,kinshasa,economy,8,3,460.15,575.19,96.0,240.0,2,1,600.0,600.0,540000.0,False
menage_urbain,synthetic-customer-000076,kinshasa,performance,8,5,2672.32,3340.4,353.0,1100.0,2,2,2176.0,600.0,1400000.0,True
boutique_froid,synthetic-customer-000077,brazzaville,balanced,10,4,5259.46,6574.32,520.0,2200.0,4,3,3264.0,2500.0,2510000.0,True
salon_coiffure,synthetic-customer-000078,lubumbashi,economy,8,4,2665.48,3331.85,1147.0,1050.0,3,3,1800.0,2500.0,1635000.0,True
centre_sante,synthetic-customer-000079,mbandaka,performance,10,4,2194.73,2743.41,307.0,1050.0,3,2,2176.0,600.0,1405000.0,False
petit_menage,synthetic-customer-000080,kinshasa,autonomy,8,3,412.71,515.89,87.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000081,kinshasa,balanced,10,5,3388.97,4236.21,467.0,1650.0,3,2,2176.0,600.0,1645000.0,True
boutique_froid,synthetic-customer-000082,brazzaville,autonomy,10,4,5374.84,6718.55,511.0,2200.0,4,3,3264.0,2500.0,2510000.0,False
salon_coiffure,synthetic-customer-000083,lubumbashi,performance,10,4,3320.33,4150.41,1246.0,1100.0,2,2,2176.0,2500.0,1760000.0,True
centre_sante,synthetic-customer-000084,mbandaka,economy,16,4,2157.73,2697.16,307.0,1050.0,3,4,2400.0,600.0,1405000.0,False
petit_menage,synthetic-customer-000085,kinshasa,autonomy,24,3,520.62,650.77,131.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000086,kinshasa,economy,8,5,3573.35,4466.69,452.0,1650.0,3,3,1800.0,600.0,1515000.0,False
boutique_froid,synthetic-customer-000087,brazzaville,economy,12,4,5493.62,6867.02,520.0,2200.0,4,7,4200.0,2500.0,2640000.0,True
salon_coiffure,synthetic-customer-000088,lubumbashi,economy,10,4,3549.03,4436.29,1261.0,1650.0,3,4,2400.0,2500.0,2005000.0,True
centre_sante,synthetic-customer-000089,mbandaka,economy,12,4,2651.88,3314.85,378.0,1100.0,2,4,2400.0,600.0,1400000.0,False
petit_menage,synthetic-customer-000090,kinshasa,performance,12,3,350.67,438.34,87.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000091,kinshasa,balanced,12,5,3327.77,4159.71,452.0,1650.0,3,3,3264.0,600.0,1905000.0,True
boutique_froid,synthetic-customer-000092,brazzaville,balanced,16,4,2554.08,3192.6,260.0,1100.0,2,3,3264.0,600.0,1660000.0,True
salon_coiffure,synthetic-customer-000093,lubumbashi,autonomy,24,4,1814.45,2268.06,1183.0,700.0,2,3,3264.0,2500.0,1750000.0,True
centre_sante,synthetic-customer-000094,mbandaka,autonomy,24,4,2491.88,3114.85,408.0,1100.0,2,4,4352.0,600.0,1920000.0,True
petit_menage,synthetic-customer-000095,kinshasa,economy,12,3,412.52,515.65,87.0,240.0,2,1,600.0,600.0,540000.0,True
menage_urbain,synthetic-customer-000096,kinshasa,balanced,10,5,3331.61,4164.51,461.0,1650.0,3,2,2176.0,600.0,1645000.0,True
boutique_froid,synthetic-customer-000097,brazzaville,balanced,16,4,5325.44,6656.8,526.0,2200.0,4,5,5440.0,2500.0,3030000.0,True
salon_coiffure,synthetic-customer-000098,lubumbashi,balanced,12,4,1830.86,2288.58,1177.0,700.0,2,2,2176.0,2500.0,1490000.0,False
centre_sante,synthetic-customer-000099,mbandaka,autonomy,8,4,2380.06,2975.07,408.0,1100.0,2,2,2176.0,600.0,1400000.0,False
petit_menage,synthetic-customer-000100,kinshasa,performance,12,3,515.27,644.09,131.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000101,kinshasa,balanced,10,5,3233.55,4041.94,467.0,1650.0,3,2,2176.0,600.0,1645000.0,False
boutique_froid,synthetic-customer-000102,brazzaville,autonomy,12,4,3789.65,4737.06,381.0,1650.0,3,3,3264.0,1200.0,2005000.0,False
salon_coiffure,synthetic-customer-000103,lubumbashi,balanced,12,4,1690.25,2112.81,1153.0,600.0,3,2,2176.0,2500.0,1475000.0,False
centre_sante,synthetic-customer-000104,mbandaka,economy,8,4,2069.26,2586.58,289.0,1050.0,3,2,1200.0,600.0,1145000.0,True
petit_menage,synthetic-customer-000105,kinshasa,balanced,16,3,348.18,435.23,79.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000106,kinshasa,autonomy,24,5,3228.9,4036.12,416.0,1650.0,3,5,5440.0,600.0,2425000.0,True
boutique_froid,synthetic-customer-000107,brazzaville,autonomy,12,4,3705.32,4631.65,381.0,1650.0,3,3,3264.0,1200.0,2005000.0,True
salon_coiffure,synthetic-customer-000108,lubumbashi,balanced,12,4,2021.84,2527.3,1201.0,700.0,2,2,2176.0,2500.0,1490000.0,False
centre_sante,synthetic-customer-000109,mbandaka,autonomy,10,4,2028.63,2535.79,289.0,1050.0,3,2,2176.0,600.0,1405000.0,True
petit_menage,synthetic-customer-000110,kinshasa,balanced,8,3,294.14,367.67,78.0,120.0,1,1,1088.0,600.0,530000.0,False
menage_urbain,synthetic-customer-000111,kinshasa,economy,8,5,4460.28,5575.35,546.0,1650.0,3,4,2400.0,1200.0,1745000.0,True
boutique_froid,synthetic-customer-000112,brazzaville,balanced,10,4,3955.36,4944.2,396.0,1650.0,3,3,3264.0,1200.0,2005000.0,False
salon_coiffure,synthetic-customer-000113,lubumbashi,balanced,24,4,2482.73,3103.41,1162.0,1050.0,3,4,4352.0,2500.0,2285000.0,False
centre_sante,synthetic-customer-000114,mbandaka,economy,16,4,2024.56,2530.7,298.0,1050.0,3,4,2400.0,600.0,1405000.0,False
petit_menage,synthetic-customer-000115,kinshasa,balanced,8,3,534.46,668.08,114.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000116,kinshasa,economy,8,5,2887.27,3609.09,362.0,1100.0,2,3,1800.0,600.0,1270000.0,False
boutique_froid,synthetic-customer-000117,brazzaville,autonomy,10,4,6079.34,7599.17,590.0,2200.0,4,4,4352.0,2500.0,2770000.0,True
salon_coiffure,synthetic-customer-000118,lubumbashi,balanced,16,4,3399.67,4249.59,1237.0,1100.0,2,3,3264.0,2500.0,2020000.0,True
centre_sante,synthetic-customer-000119,mbandaka,performance,8,4,1907.39,2384.24,298.0,1050.0,3,1,1088.0,600.0,1145000.0,False
petit_menage,synthetic-customer-000120,kinshasa,balanced,10,3,359.05,448.81,78.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000121,kinshasa,autonomy,24,5,4109.23,5136.54,492.0,1650.0,3,6,6528.0,1200.0,2785000.0,True
boutique_froid,synthetic-customer-000122,brazzaville,autonomy,12,4,2348.71,2935.89,251.0,1050.0,3,2,2176.0,600.0,1405000.0,False
salon_coiffure,synthetic-customer-000123,lubumbashi,economy,24,4,2744.7,3430.88,1147.0,1050.0,3,7,4200.0,2500.0,2155000.0,False
centre_sante,synthetic-customer-000124,mbandaka,performance,8,4,1858.21,2322.76,289.0,1050.0,3,1,1088.0,600.0,1145000.0,True
petit_menage,synthetic-customer-000125,kinshasa,balanced,12,3,607.25,759.06,131.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000126,kinshasa,economy,8,5,2706.51,3383.14,353.0,1100.0,2,3,1800.0,600.0,1270000.0,False
boutique_froid,synthetic-customer-000127,brazzaville,economy,10,4,5617.81,7022.26,590.0,2200.0,4,6,3600.0,2500.0,2510000.0,True
salon_coiffure,synthetic-customer-000128,lubumbashi,autonomy,16,4,2969.69,3712.11,1186.0,1100.0,2,3,3264.0,2500.0,2020000.0,True
centre_sante,synthetic-customer-000129,mbandaka,balanced,10,4,3089.03,3861.29,442.0,1650.0,3,2,2176.0,600.0,1645000.0,True
petit_menage,synthetic-customer-000130,kinshasa,autonomy,10,3,557.33,696.66,113.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000131,kinshasa,autonomy,24,5,3402.59,4253.24,443.0,1650.0,3,5,5440.0,600.0,2425000.0,True
boutique_froid,synthetic-customer-000132,brazzaville,balanced,10,4,4552.52,5690.65,469.0,1650.0,3,3,3264.0,1200.0,2005000.0,True
salon_coiffure,synthetic-customer-000133,lubumbashi,balanced,10,4,2191.95,2739.94,1222.0,1050.0,3,2,2176.0,2500.0,1765000.0,True
centre_sante,synthetic-customer-000134,mbandaka,economy,10,4,2964.7,3705.88,433.0,1650.0,3,3,1800.0,600.0,1515000.0,False
petit_menage,synthetic-customer-000135,kinshasa,economy,16,3,405.93,507.41,86.0,240.0,2,1,600.0,600.0,540000.0,False
menage_urbain,synthetic-customer-000136,kinshasa,balanced,24,5,3028.01,3785.01,398.0,1100.0,2,4,4352.0,600.0,1920000.0,True
boutique_froid,synthetic-customer-000137,brazzaville,balanced,10,4,5362.97,6703.71,520.0,2200.0,4,3,3264.0,2500.0,2510000.0,True
salon_coiffure,synthetic-customer-000138,lubumbashi,balanced,12,4,3197.27,3996.59,1246.0,1100.0,2,3,3264.0,2500.0,2020000.0,True
centre_sante,synthetic-customer-000139,mbandaka,performance,24,4,1937.16,2421.45,298.0,1050.0,3,3,3264.0,600.0,1665000.0,True
petit_menage,synthetic-customer-000140,kinshasa,balanced,12,3,385.51,481.89,78.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000141,kinshasa,performance,10,5,4444.88,5556.1,546.0,1650.0,3,3,3264.0,1200.0,2005000.0,False
boutique_froid,synthetic-customer-000142,brazzaville,economy,10,4,3740.67,4675.84,390.0,1650.0,3,4,2400.0,1200.0,1745000.0,True
salon_coiffure,synthetic-customer-000143,lubumbashi,autonomy,10,4,2248.88,2811.1,1132.0,1050.0,3,2,2176.0,2500.0,1765000.0,False
centre_sante,synthetic-customer-000144,mbandaka,economy,24,4,2087.11,2608.89,307.0,1050.0,3,5,3000.0,600.0,1535000.0,True
petit_menage,synthetic-customer-000145,kinshasa,balanced,24,3,357.83,447.29,79.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000146,kinshasa,autonomy,16,5,4280.55,5350.69,492.0,1650.0,3,4,4352.0,1200.0,2265000.0,False
boutique_froid,synthetic-customer-000147,brazzaville,economy,16,4,5205.97,6507.46,511.0,2200.0,4,9,5400.0,2500.0,2900000.0,True
salon_coiffure,synthetic-customer-000148,lubumbashi,balanced,24,4,2259.9,2824.88,1192.0,1050.0,3,3,3264.0,2500.0,2025000.0,False
centre_sante,synthetic-customer-000149,mbandaka,economy,8,4,2525.6,3157.0,353.0,1100.0,2,2,1200.0,600.0,1140000.0,True
petit_menage,synthetic-customer-000150,kinshasa,performance,12,3,405.16,506.45,87.0,240.0,2,1,1088.0,600.0,670000.0,True
menage_urbain,synthetic-customer-000151,kinshasa,autonomy,12,5,3252.56,4065.7,462.0,1650.0,3,3,3264.0,600.0,1905000.0,False
boutique_froid,synthetic-customer-000152,brazzaville,balanced,8,4,3953.24,4941.55,399.0,1650.0,3,2,2176.0,1200.0,1745000.0,False
salon_coiffure,synthetic-customer-000153,lubumbashi,autonomy,12,4,2335.09,2918.86,1168.0,1050.0,3,2,2176.0,2500.0,1765000.0,True
centre_sante,synthetic-customer-000154,mbandaka,economy,16,4,2473.4,3091.75,399.0,1100.0,2,4,2400.0,600.0,1400000.0,False
petit_menage,synthetic-customer-000155,kinshasa,autonomy,8,3,357.51,446.89,78.0,240.0,2,1,1088.0,600.0,670000.0,True
menage_urbain,synthetic-customer-000156,kinshasa,performance,10,5,2803.7,3504.62,408.0,1100.0,2,2,2176.0,600.0,1400000.0,False
boutique_froid,synthetic-customer-000157,brazzaville,balanced,10,4,3217.94,4022.43,339.0,1650.0,3,2,2176.0,600.0,1645000.0,False
salon_coiffure,synthetic-customer-000158,lubumbashi,performance,24,4,3101.64,3877.05,1261.0,1100.0,2,5,5440.0,2500.0,2540000.0,False
centre_sante,synthetic-customer-000159,mbandaka,balanced,10,4,2070.35,2587.94,307.0,1050.0,3,2,2176.0,600.0,1405000.0,False
petit_menage,synthetic-customer-000160,kinshasa,autonomy,12,3,535.46,669.33,130.0,240.0,2,1,1088.0,600.0,670000.0,True
menage_urbain,synthetic-customer-000161,kinshasa,balanced,12,5,3183.59,3979.49,462.0,1650.0,3,3,3264.0,600.0,1905000.0,False
boutique_froid,synthetic-customer-000162,brazzaville,economy,8,4,3858.04,4822.55,390.0,1650.0,3,4,2400.0,1200.0,1745000.0,False
salon_coiffure,synthetic-customer-000163,lubumbashi,autonomy,12,4,2607.22,3259.02,2237.0,1050.0,3,2,2176.0,5000.0,2195000.0,True
centre_sante,synthetic-customer-000164,mbandaka,economy,10,4,2818.9,3523.62,387.0,1650.0,3,3,1800.0,600.0,1515000.0,False
petit_menage,synthetic-customer-000165,kinshasa,economy,24,3,522.43,653.04,123.0,240.0,2,2,1200.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000166,kinshasa,balanced,12,5,3452.07,4315.09,443.0,1650.0,3,3,3264.0,600.0,1905000.0,False
boutique_froid,synthetic-customer-000167,brazzaville,balanced,24,4,3906.23,4882.79,387.0,1650.0,3,6,6528.0,1200.0,2785000.0,False
salon_coiffure,synthetic-customer-000168,lubumbashi,balanced,8,4,2967.37,3709.21,2237.0,1100.0,2,2,2176.0,5000.0,2190000.0,True
centre_sante,synthetic-customer-000169,mbandaka,economy,16,4,2456.92,3071.15,344.0,1100.0,2,4,2400.0,600.0,1400000.0,False
petit_menage,synthetic-customer-000170,kinshasa,balanced,16,3,318.4,398.0,79.0,120.0,1,1,1088.0,600.0,530000.0,False
menage_urbain,synthetic-customer-000171,kinshasa,economy,12,5,5137.38,6421.73,661.0,2200.0,4,7,4200.0,1200.0,2380000.0,True
boutique_froid,synthetic-customer-000172,brazzaville,economy,8,4,4039.57,5049.46,396.0,1650.0,3,4,2400.0,1200.0,1745000.0,True
salon_coiffure,synthetic-customer-000173,lubumbashi,performance,8,4,4028.04,5035.05,2168.0,1650.0,3,2,2176.0,5000.0,2435000.0,True
centre_sante,synthetic-customer-000174,mbandaka,balanced,8,4,1972.85,2466.06,307.0,1050.0,3,1,1088.0,600.0,1145000.0,True
petit_menage,synthetic-customer-000175,kinshasa,autonomy,8,3,466.78,583.47,87.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000176,kinshasa,balanced,16,5,4598.5,5748.12,607.0,2200.0,4,5,5440.0,1200.0,2770000.0,True
boutique_froid,synthetic-customer-000177,brazzaville,performance,8,4,4447.89,5559.86,469.0,1650.0,3,2,2176.0,1200.0,1745000.0,False
salon_coiffure,synthetic-customer-000178,lubumbashi,autonomy,16,4,2683.58,3354.47,1192.0,1050.0,3,3,3264.0,2500.0,2025000.0,False
centre_sante,synthetic-customer-000179,mbandaka,autonomy,10,4,2481.43,3101.79,369.0,1100.0,2,2,2176.0,600.0,1400000.0,False
petit_menage,synthetic-customer-000180,kinshasa,performance,8,3,444.96,556.2,95.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000181,kinshasa,autonomy,24,5,4305.46,5381.82,543.0,1650.0,3,6,6528.0,1200.0,2785000.0,True
boutique_froid,synthetic-customer-000182,brazzaville,balanced,10,4,3096.11,3870.14,330.0,1100.0,2,2,2176.0,600.0,1400000.0,True
salon_coiffure,synthetic-customer-000183,lubumbashi,autonomy,16,4,1613.36,2016.7,1147.0,600.0,3,2,2176.0,2500.0,1475000.0,True
centre_sante,synthetic-customer-000184,mbandaka,performance,8,4,2030.3,2537.88,298.0,1050.0,3,1,1088.0,600.0,1145000.0,False
petit_menage,synthetic-customer-000185,kinshasa,performance,10,3,379.17,473.96,87.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000186,kinshasa,performance,12,5,3547.31,4434.14,507.0,1650.0,3,3,3264.0,1200.0,2005000.0,False
boutique_froid,synthetic-customer-000187,brazzaville,autonomy,12,4,3889.66,4862.07,390.0,1650.0,3,3,3264.0,1200.0,2005000.0,True
salon_coiffure,synthetic-customer-000188,lubumbashi,autonomy,16,4,4312.61,5390.76,2156.0,1650.0,3,4,4352.0,5000.0,2955000.0,False
centre_sante,synthetic-customer-000189,mbandaka,autonomy,10,4,2719.82,3399.78,378.0,1100.0,2,2,2176.0,600.0,1400000.0,False
petit_menage,synthetic-customer-000190,kinshasa,balanced,12,3,344.41,430.51,78.0,240.0,2,1,1088.0,600.0,670000.0,False
menage_urbain,synthetic-customer-000191,kinshasa,performance,24,5,3073.05,3841.31,453.0,1650.0,3,5,5440.0,600.0,2425000.0,True
