sample_id,device_id,scenario,region,season,day_period,ambient_temperature_c,humidity_pct,solar_irradiance_w_m2,network_quality,installation_type,battery_age_months,usage_profile,security_risk_zone,latitude,longitude,battery_voltage_v,battery_temperature_c,state_of_charge_pct,movement_detected,tamper_detected,enclosure_opened,connectivity_gap_seconds,solar_power_w,load_power_w,gps_accuracy_m,label_maintenance,label_security,notes
sample-1-normal_operation-25,device-1,normal_operation,sahel_north,dry,night,42.01,15.0,112.58,medium,household_rooftop,3,normal,medium,14.707825,-17.4637,13.38,33.7,74.56,0,0,0,142,32.41,55.0,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during dry
sample-1-normal_operation-26,device-1,normal_operation,sahel_north,rainy,day,33.11,53.45,516.39,medium,kiosk_shared,3,intensive,medium,14.721433,-17.47736,13.18,33.5,62.76,0,0,0,145,97.62,77.62,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during rainy
sample-1-normal_operation-27,device-1,normal_operation,sahel_north,harmattan,day,39.25,15.0,728.5,medium,household_rooftop,3,low,medium,14.72581,-17.469854,13.23,33.75,82.56,0,0,0,148,132.16,45.0,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during harmattan
sample-1-normal_operation-28,device-1,normal_operation,sahel_north,transition,day,38.05,39.63,825.14,medium,kiosk_shared,3,normal,medium,14.716351,-17.472539,13.28,33.78,72.91,0,0,0,151,148.22,62.5,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during transition
sample-1-normal_operation-29,device-1,normal_operation,sahel_north,dry,night,41.29,15.0,90.6,medium,household_rooftop,3,intensive,medium,14.718091,-17.4754,13.33,33.99,59.76,0,0,0,154,31.3,87.75,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during dry
sample-1-normal_operation-30,device-1,normal_operation,sahel_north,rainy,day,34.18,50.72,488.71,medium,kiosk_shared,3,low,medium,14.71787,-17.459557,13.38,33.82,81.96,0,0,0,157,95.59,50.62,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during rainy
sample-1-normal_operation-31,device-1,normal_operation,sahel_north,harmattan,day,38.23,15.0,742.3,medium,household_rooftop,3,normal,medium,14.718741,-17.469448,13.18,34.03,71.26,0,0,0,160,136.77,55.0,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during harmattan
sample-1-normal_operation-32,device-1,normal_operation,sahel_north,transition,day,37.19,27.98,828.59,medium,kiosk_shared,3,intensive,medium,14.707218,-17.472453,13.23,34.07,56.76,0,0,0,163,151.17,77.62,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during transition
sample-1-normal_operation-33,device-1,normal_operation,sahel_north,dry,night,40.95,15.0,64.35,medium,household_rooftop,3,low,medium,14.717907,-17.462983,13.28,34.3,81.36,0,0,0,166,29.5,45.0,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during dry
sample-1-normal_operation-34,device-1,normal_operation,sahel_north,rainy,day,34.06,49.83,548.25,medium,kiosk_shared,3,normal,medium,14.718747,-17.465785,13.33,34.14,69.61,0,0,0,169,107.52,62.5,4.0,0,0,MVP v2 scenario for normal_operation in sahel_north during rainy
sample-1-battery_degradation-1,device-1,battery_degradation,sahel_north,dry,night,39.03,19.96,88.34,weak,household_rooftop,3,normal,medium,14.708118,-17.469273,11.78,34.16,61.76,0,0,0,180,12.72,55.0,8.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during dry
sample-1-battery_degradation-2,device-1,battery_degradation,sahel_north,rainy,day,36.09,46.32,521.28,medium,kiosk_shared,3,intensive,medium,14.721846,-17.471476,11.83,34.12,60.76,0,0,0,73,75.66,77.62,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during rainy
sample-1-battery_degradation-3,device-1,battery_degradation,sahel_north,harmattan,day,38.86,15.0,772.76,medium,household_rooftop,3,low,medium,14.726034,-17.476554,11.88,34.31,61.36,0,0,0,76,112.48,45.0,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during harmattan
sample-1-battery_degradation-4,device-1,battery_degradation,sahel_north,transition,day,36.4,27.85,832.54,medium,kiosk_shared,3,normal,medium,14.721339,-17.475004,11.93,34.3,60.11,0,0,0,79,121.69,62.5,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during transition
sample-1-battery_degradation-5,device-1,battery_degradation,sahel_north,dry,night,37.73,15.0,61.3,medium,household_rooftop,3,intensive,medium,14.721056,-17.474149,11.98,34.43,57.76,0,0,0,82,11.23,87.75,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during dry
sample-1-battery_degradation-6,device-1,battery_degradation,sahel_north,rainy,day,34.62,52.88,515.71,medium,kiosk_shared,3,low,medium,14.72647,-17.469806,11.78,34.4,60.76,0,0,0,85,77.26,50.62,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during rainy
sample-1-battery_degradation-7,device-1,battery_degradation,sahel_north,harmattan,day,35.82,15.0,717.97,medium,household_rooftop,3,normal,medium,14.719246,-17.477371,11.83,34.51,58.46,0,0,0,88,106.99,55.0,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during harmattan
sample-1-battery_degradation-8,device-1,battery_degradation,sahel_north,transition,day,37.85,39.17,818.45,medium,kiosk_shared,3,intensive,medium,14.717182,-17.463301,11.88,34.67,54.76,0,0,0,91,122.06,77.62,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during transition
sample-1-battery_degradation-9,device-1,battery_degradation,sahel_north,dry,night,39.16,19.71,84.9,medium,household_rooftop,3,low,medium,14.718968,-17.476433,11.93,34.81,60.16,0,0,0,94,17.03,45.0,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during dry
sample-1-battery_degradation-10,device-1,battery_degradation,sahel_north,rainy,day,36.38,39.25,548.21,medium,kiosk_shared,3,normal,medium,14.710236,-17.465172,11.98,34.78,56.81,0,0,0,97,84.34,62.5,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during rainy
sample-1-battery_degradation-11,device-1,battery_degradation,sahel_north,harmattan,day,37.52,15.0,740.84,medium,household_rooftop,3,intensive,medium,14.725733,-17.460625,11.78,34.9,51.76,0,0,0,100,112.68,87.75,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during harmattan
sample-1-battery_degradation-12,device-1,battery_degradation,sahel_north,transition,day,37.21,36.32,822.22,medium,kiosk_shared,3,low,medium,14.707809,-17.467862,11.83,34.97,59.56,0,0,0,103,125.0,50.62,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during transition
sample-1-battery_degradation-13,device-1,battery_degradation,sahel_north,dry,night,41.94,15.0,114.17,medium,household_rooftop,3,normal,medium,14.720179,-17.460391,11.88,35.24,55.16,0,0,0,106,23.64,55.0,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during dry
sample-1-battery_degradation-14,device-1,battery_degradation,sahel_north,rainy,day,35.16,41.8,532.94,medium,kiosk_shared,3,intensive,medium,14.717366,-17.45994,11.93,35.05,48.76,0,0,0,109,84.54,77.62,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during rainy
sample-1-battery_degradation-15,device-1,battery_degradation,sahel_north,harmattan,day,35.25,15.0,707.95,medium,household_rooftop,3,low,medium,14.713753,-17.46297,11.98,35.13,58.96,0,0,0,112,110.34,45.0,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during harmattan
sample-1-battery_degradation-16,device-1,battery_degradation,sahel_north,transition,day,39.1,36.75,856.07,medium,kiosk_shared,3,normal,medium,14.709339,-17.463318,11.78,35.36,53.51,0,0,0,115,132.27,62.5,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during transition
sample-1-battery_degradation-17,device-1,battery_degradation,sahel_north,dry,night,38.41,21.58,69.04,medium,household_rooftop,3,intensive,medium,14.714674,-17.457938,11.83,35.42,45.76,0,0,0,118,19.54,87.75,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during dry
sample-1-battery_degradation-18,device-1,battery_degradation,sahel_north,rainy,day,36.31,54.98,539.99,weak,kiosk_shared,3,low,medium,14.725593,-17.464568,11.88,35.41,58.36,0,0,0,231,87.96,50.62,8.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during rainy
sample-1-battery_degradation-19,device-1,battery_degradation,sahel_north,harmattan,day,37.21,15.0,751.13,medium,household_rooftop,3,normal,medium,14.725959,-17.46842,11.93,35.53,51.86,0,0,0,124,118.96,55.0,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during harmattan
sample-1-battery_degradation-20,device-1,battery_degradation,sahel_north,transition,day,36.17,37.67,853.87,medium,kiosk_shared,3,intensive,medium,14.711025,-17.466273,11.98,35.57,42.76,0,0,0,127,134.36,77.62,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during transition
sample-1-battery_degradation-21,device-1,battery_degradation,sahel_north,dry,night,39.27,21.39,73.14,medium,household_rooftop,3,low,medium,14.724314,-17.471283,11.78,35.77,57.76,0,0,0,130,22.53,45.0,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during dry
sample-1-battery_degradation-22,device-1,battery_degradation,sahel_north,rainy,day,35.69,50.2,486.16,medium,kiosk_shared,3,normal,medium,14.710705,-17.464234,11.83,35.71,50.21,0,0,0,133,82.61,62.5,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during rainy
sample-1-battery_degradation-23,device-1,battery_degradation,sahel_north,harmattan,day,35.18,15.0,727.19,medium,household_rooftop,3,intensive,medium,14.710021,-17.458638,11.88,35.77,39.76,0,0,0,136,117.92,87.75,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during harmattan
sample-1-battery_degradation-24,device-1,battery_degradation,sahel_north,transition,day,36.14,38.35,802.8,medium,kiosk_shared,3,low,medium,14.713663,-17.466395,11.93,35.89,57.16,0,0,0,139,129.4,50.62,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during transition
sample-1-battery_degradation-25,device-1,battery_degradation,sahel_north,dry,night,42.34,15.0,60.98,medium,household_rooftop,3,normal,medium,14.723416,-17.476208,11.98,36.21,48.56,0,0,0,142,23.18,55.0,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during dry
sample-1-battery_degradation-26,device-1,battery_degradation,sahel_north,rainy,day,33.39,46.54,504.53,medium,kiosk_shared,3,intensive,medium,14.724312,-17.469832,11.78,36.0,36.76,0,0,0,145,87.65,77.62,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during rainy
sample-1-battery_degradation-27,device-1,battery_degradation,sahel_north,harmattan,day,35.77,15.0,760.99,medium,household_rooftop,3,low,medium,14.722941,-17.457853,11.83,36.11,56.56,0,0,0,148,125.18,45.0,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during harmattan
sample-1-battery_degradation-28,device-1,battery_degradation,sahel_north,transition,day,35.47,32.23,838.7,medium,kiosk_shared,3,normal,medium,14.708586,-17.471661,11.88,36.18,46.91,0,0,0,151,136.97,62.5,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during transition
sample-1-battery_degradation-29,device-1,battery_degradation,sahel_north,dry,night,40.47,15.0,58.75,medium,household_rooftop,3,intensive,medium,14.719198,-17.46103,11.93,36.46,33.76,0,0,0,154,25.26,87.75,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during dry
sample-1-battery_degradation-30,device-1,battery_degradation,sahel_north,rainy,day,34.7,52.4,544.45,medium,kiosk_shared,3,low,medium,14.725049,-17.474674,11.98,36.32,55.96,0,0,0,157,95.8,50.62,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during rainy
sample-1-battery_degradation-31,device-1,battery_degradation,sahel_north,harmattan,day,35.86,15.0,763.46,medium,household_rooftop,3,normal,medium,14.711455,-17.4609,11.78,36.43,45.26,0,0,0,160,127.94,55.0,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during harmattan
sample-1-battery_degradation-32,device-1,battery_degradation,sahel_north,transition,day,36.54,35.72,839.36,medium,kiosk_shared,3,intensive,medium,14.718575,-17.464678,11.83,36.54,30.76,0,0,0,163,139.47,77.62,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during transition
sample-1-battery_degradation-33,device-1,battery_degradation,sahel_north,dry,night,42.24,15.0,69.8,medium,household_rooftop,3,low,medium,14.71297,-17.476986,11.88,36.85,55.36,0,0,0,166,29.25,45.0,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during dry
sample-1-battery_degradation-34,device-1,battery_degradation,sahel_north,rainy,day,37.01,42.47,522.73,medium,kiosk_shared,3,normal,medium,14.714855,-17.47162,11.93,36.72,43.61,0,0,0,169,95.07,62.5,4.0,1,0,MVP v2 scenario for battery_degradation in sahel_north during rainy
sample-1-overheating-1,device-1,overheating,sahel_north,dry,night,42.44,15.0,84.47,weak,household_rooftop,3,intensive,medium,14.70788,-17.469952,12.48,47.3,77.76,0,0,0,180,10.7,74.25,8.0,1,0,MVP v2 scenario for overheating in sahel_north during dry
sample-1-overheating-2,device-1,overheating,sahel_north,rainy,day,33.82,51.72,529.57,medium,kiosk_shared,3,low,medium,14.722943,-17.473904,12.53,47.08,77.56,0,0,0,73,67.68,43.12,4.0,1,0,MVP v2 scenario for overheating in sahel_north during rainy
sample-1-overheating-3,device-1,overheating,sahel_north,harmattan,day,37.91,15.0,741.74,medium,household_rooftop,3,normal,medium,14.726655,-17.469974,12.58,47.28,76.66,0,0,0,76,95.15,60.0,4.0,1,0,MVP v2 scenario for overheating in sahel_north during harmattan
sample-1-overheating-4,device-1,overheating,sahel_north,transition,day,37.14,35.76,827.0,medium,kiosk_shared,3,intensive,medium,14.711783,-17.464697,12.63,47.33,74.76,0,0,0,79,106.55,84.38,4.0,1,0,MVP v2 scenario for overheating in sahel_north during transition
sample-1-overheating-5,device-1,overheating,sahel_north,dry,night,39.54,15.0,62.78,medium,household_rooftop,3,low,medium,14.715472,-17.47585,12.68,47.5,76.96,0,0,0,82,10.35,48.75,4.0,1,0,MVP v2 scenario for overheating in sahel_north during dry
sample-1-overheating-6,device-1,overheating,sahel_north,rainy,day,34.7,51.4,485.42,medium,kiosk_shared,3,normal,medium,14.716711,-17.466156,12.48,47.4,75.01,0,0,0,85,64.49,67.5,4.0,1,0,MVP v2 scenario for overheating in sahel_north during rainy
sample-1-overheating-7,device-1,overheating,sahel_north,harmattan,day,37.98,15.0,754.4,medium,household_rooftop,3,intensive,medium,14.718233,-17.470246,12.53,47.6,71.76,0,0,0,88,99.16,74.25,4.0,1,0,MVP v2 scenario for overheating in sahel_north during harmattan
sample-1-overheating-8,device-1,overheating,sahel_north,transition,day,39.6,29.17,798.03,medium,kiosk_shared,3,low,medium,14.713161,-17.462516,12.58,47.74,76.36,0,0,0,91,105.28,43.12,4.0,1,0,MVP v2 scenario for overheating in sahel_north during transition
sample-1-overheating-9,device-1,overheating,sahel_north,dry,night,37.8,16.66,88.72,medium,household_rooftop,3,normal,medium,14.717839,-17.470447,12.63,47.75,73.36,0,0,0,94,16.04,60.0,4.0,1,0,MVP v2 scenario for overheating in sahel_north during dry
sample-1-overheating-10,device-1,overheating,sahel_north,rainy,day,35.13,54.35,502.19,medium,kiosk_shared,3,intensive,medium,14.726566,-17.458186,12.68,47.73,68.76,0,0,0,97,69.01,84.38,4.0,1,0,MVP v2 scenario for overheating in sahel_north during rainy
sample-1-overheating-11,device-1,overheating,sahel_north,harmattan,day,39.34,15.0,712.97,medium,household_rooftop,3,low,medium,14.708179,-17.461823,12.48,47.97,75.76,0,0,0,100,96.31,48.75,4.0,1,0,MVP v2 scenario for overheating in sahel_north during harmattan
sample-1-overheating-12,device-1,overheating,sahel_north,transition,day,37.74,24.49,835.8,medium,kiosk_shared,3,normal,medium,14.724463,-17.476204,12.53,47.99,71.71,0,0,0,103,112.47,67.5,4.0,1,0,MVP v2 scenario for overheating in sahel_north during transition
sample-1-overheating-13,device-1,overheating,sahel_north,dry,night,42.23,15.0,87.37,medium,household_rooftop,3,intensive,medium,14.713689,-17.458873,12.58,48.25,65.76,0,0,0,106,18.27,74.25,4.0,1,0,MVP v2 scenario for overheating in sahel_north during dry
sample-1-overheating-14,device-1,overheating,sahel_north,rainy,day,34.13,43.48,536.77,medium,kiosk_shared,3,low,medium,14.723492,-17.45803,12.63,48.04,75.16,0,0,0,109,75.79,43.12,4.0,1,0,MVP v2 scenario for overheating in sahel_north during rainy
sample-1-overheating-15,device-1,overheating,sahel_north,harmattan,day,34.78,15.0,719.78,medium,household_rooftop,3,normal,medium,14.721065,-17.470825,12.68,48.12,70.06,0,0,0,112,99.57,60.0,4.0,1,0,MVP v2 scenario for overheating in sahel_north during harmattan
sample-1-overheating-16,device-1,overheating,sahel_north,transition,day,36.9,33.85,859.31,medium,kiosk_shared,3,intensive,medium,14.720086,-17.466984,12.48,48.28,62.76,0,0,0,115,117.85,84.38,4.0,1,0,MVP v2 scenario for overheating in sahel_north during transition
sample-1-overheating-17,device-1,overheating,sahel_north,dry,night,40.33,15.0,113.87,medium,household_rooftop,3,low,medium,14.725015,-17.471469,12.53,48.49,74.56,0,0,0,118,24.02,48.75,4.0,1,0,MVP v2 scenario for overheating in sahel_north during dry
sample-1-overheating-18,device-1,overheating,sahel_north,rainy,day,33.95,50.45,488.61,weak,kiosk_shared,3,normal,medium,14.708855,-17.466137,12.58,48.36,68.41,0,0,0,231,72.09,67.5,8.0,1,0,MVP v2 scenario for overheating in sahel_north during rainy
sample-1-overheating-19,device-1,overheating,sahel_north,harmattan,day,37.83,15.0,743.74,medium,household_rooftop,3,intensive,medium,14.72636,-17.467595,12.63,48.55,59.76,0,0,0,124,105.01,74.25,4.0,1,0,MVP v2 scenario for overheating in sahel_north during harmattan
sample-1-overheating-20,device-1,overheating,sahel_north,transition,day,36.27,33.65,826.94,medium,kiosk_shared,3,low,medium,14.72367,-17.465635,12.68,48.57,73.96,0,0,0,127,116.15,43.12,4.0,1,0,MVP v2 scenario for overheating in sahel_north during transition
sample-1-overheating-21,device-1,overheating,sahel_north,dry,night,38.42,15.0,105.94,medium,household_rooftop,3,normal,medium,14.719795,-17.465504,12.48,48.74,66.76,0,0,0,130,25.42,60.0,4.0,1,0,MVP v2 scenario for overheating in sahel_north during dry
sample-1-overheating-22,device-1,overheating,sahel_north,rainy,day,35.7,43.6,547.77,medium,kiosk_shared,3,intensive,medium,14.721306,-17.469667,12.53,48.71,56.76,0,0,0,133,81.98,84.38,4.0,1,0,MVP v2 scenario for overheating in sahel_north during rainy
sample-1-overheating-23,device-1,overheating,sahel_north,harmattan,day,37.8,15.0,754.76,medium,household_rooftop,3,low,medium,14.721857,-17.468811,12.58,48.87,73.36,0,0,0,136,108.8,48.75,4.0,1,0,MVP v2 scenario for overheating in sahel_north during harmattan
sample-1-overheating-24,device-1,overheating,sahel_north,transition,day,35.87,28.92,834.1,medium,kiosk_shared,3,normal,medium,14.724084,-17.477431,12.63,48.87,65.11,0,0,0,139,119.45,67.5,4.0,1,0,MVP v2 scenario for overheating in sahel_north during transition
sample-1-overheating-25,device-1,overheating,sahel_north,dry,night,38.17,15.0,87.1,medium,household_rooftop,3,intensive,medium,14.707397,-17.46892,12.68,49.05,53.76,0,0,0,142,25.43,74.25,4.0,1,0,MVP v2 scenario for overheating in sahel_north during dry
sample-1-overheating-26,device-1,overheating,sahel_north,rainy,day,34.1,39.85,496.88,medium,kiosk_shared,3,low,medium,14.713426,-17.459725,12.48,49.0,72.76,0,0,0,145,77.94,43.12,4.0,1,0,MVP v2 scenario for overheating in sahel_north during rainy
sample-1-overheating-27,device-1,overheating,sahel_north,harmattan,day,37.26,15.0,767.54,medium,household_rooftop,3,normal,medium,14.720109,-17.470158,12.53,49.17,63.46,0,0,0,148,112.82,60.0,4.0,1,0,MVP v2 scenario for overheating in sahel_north during harmattan
sample-1-overheating-28,device-1,overheating,sahel_north,transition,day,39.53,25.63,845.06,medium,kiosk_shared,3,intensive,medium,14.714688,-17.465035,12.58,49.34,50.76,0,0,0,151,123.24,84.38,4.0,1,0,MVP v2 scenario for overheating in sahel_north during transition
sample-1-overheating-29,device-1,overheating,sahel_north,dry,night,41.64,15.0,66.92,medium,household_rooftop,3,low,medium,14.706918,-17.467792,12.63,49.51,72.16,0,0,0,154,25.28,48.75,4.0,1,0,MVP v2 scenario for overheating in sahel_north during dry
sample-1-overheating-30,device-1,overheating,sahel_north,rainy,day,33.29,49.36,517.14,medium,kiosk_shared,3,normal,medium,14.716674,-17.477614,12.68,49.32,61.81,0,0,0,157,82.9,67.5,4.0,1,0,MVP v2 scenario for overheating in sahel_north during rainy
sample-1-overheating-31,device-1,overheating,sahel_north,harmattan,day,38.77,15.0,767.24,medium,household_rooftop,3,intensive,medium,14.72299,-17.467809,12.48,49.55,47.76,0,0,0,160,115.18,74.25,4.0,1,0,MVP v2 scenario for overheating in sahel_north during harmattan
